review,sentiment
"I didn't expect much from this TV movie. You have to set the bar lower than you would for midget limbo for any TBS movie starring Antonio Sabato Jr. Still, it managed to disappoint, failing even to be a good-bad film.<br /><br />Every scene was by rote, as if someone had cut and pasted scenes from a dozen movies and tv shows dealing with big business conspiracies into the script, leaned back and said, ""My work is done"". It's all cliche, all predictable, and, even worse, the actors are forced to look like they're taking it seriously, (even when the plot developments are laughable).<br /><br />Do yourself a favor. Watch ""The X-Files"" if you're in the mood for paranoia. They handle it better. Also, let anyone know that sitting through ""Fatal Error"" is just that.",0
"(First of all, excuse my bad English) Of course only a movie starring Jessica Simpson can include serious goofs like this.. I'm a norwegian and I felt offended and shocked the makers of this movie did not take the time to do their research upon making this American/""Norwegian"" movie. Even Wikipedia is more accurate when it comes to facts about this country.<br /><br />So I'm posting my corrections out of my frustration: -The Country is named Norway, not Norwegia. -""Da"" is Russian, not norwegian. -Norwegian priests never use those black capes with that white paper by the neck as the protestant church is the dominant by far -It's true we have a native traditional folk-outfit (that we only use like twice a year) but the outfit in this movie is more like a German outfit. -I could NOT understand the so called ""norwegian"" in this movie.. Jessica was not making any sense.. neighter did the ""norwegian priests""<br /><br />The only thing I recognise is the norwegian flag (and the viking hats, but that's so stereotypic what people think about norway - vikings!:O gosh)<br /><br />Well.. I guess the people who made this film will never read this comment. but at least I cleared some things up and got rid of some of that frustration..!<br /><br />I'm proud of my country and I'd love if people in the US were less stereotypic and more accurate when they talk about this country.<br /><br />That was all.. Lenge leve Norge ! ;p",0
"Let me state at the outset that I have Cerebral Palsy and I went into this film expecting to have to make allowances for the lead performance. I left the theater half-convinced that they'd cast an actor who had Cerebral Palsy in the role, even though I knew that was not the case. The performances were generally excellent, with a special nod to Brenda Fricker and to Hugh O'Conner (I believe that's his name) as the young Christy Brown. Christy is talented, brash, arrogant, at times vulgar and petulant-in other words, human. This film, along with Gaby: A True Story and the documentary King Gimp, are excellent portrayals of life with CP. By no means a complete portrait, but fine examples of the disabled as human beings. Most highly recommended.",1
"Awful. This thriller should have buried. What a piece of crap. Terrible writing, characters are less than believable. Horrible Schlock!! Stick some B- stars in a terribly written POS to try and give it a little credit, but it fails miserably. If I didn't have to write ten lines about this movie I would have given it a word word review, it starts with 'sh' and ends with 'it'.<br /><br />Horrible ending, retarded. Who writes this crap. The ending of this film is so contrived, weak it's as if they had no idea what to do with this story line, or they just ran out of money. Most likely due to the number of cameos in this movie. It's a good thing that these actors are on the way out, because this would be a career killer. Good thing for them that hardly anyone will see it. At least no one important, like future investors. It could have ended a thousand different ways, but as it is, I feel cheated out of my precious time.<br /><br />Don't bother with this one, you will feel like you wasted time you can never get back.",0
"My room-mate ordered this one off of the web a while back and I finally got around to watching it. It is gross. It is cheezy. It is pretty dumb... but it is also a lot of fun. I mean, this was the most fun we have had watching a movie like this since ""City Of The Walking Dead"" ages ago. It was like being at the old Drive-In Theater again! You could tell the guy who made this movie liked all the horrible dubbed zombie movies. This one has all the cliches and tricks from those films rolled into one, and it's neat because it is SUPPOSE to be like that. The cheeze factor is high, the gore flows and the laughs roll! The effects go from sloppy to good, with the one where the guy gets torn in half and the one where a guy gets his heart shoved through his chest both being excellent! The acting goes from terrible to actually pretty good. There is not much plot, just lots and lots of gore. This one is patterned after the zombie movies from Italy and Spain I think, because they linger on the gross scenes forever, like this movie. If you like Troma movies, cheezy B-grade stuff, then you can do no wrong watching this one. A nice way to waste a Friday night!",1
"Wow... what would you do with $33m? Let me give you a choice; you can either a) shred it and flush it down the toilet or b)make a film based on the premise of Whoopi Goldberg as a hard nut futuristic cop partnered with a rubber dinosaur who uses terms like ""I didn't butt trumpet"" and blows raspberries on the basis that this is funny. That's right, you would choose the option that has more merit - flushing down the toilet.<br /><br />This has to be seen to be believed. I cannot even find the words to describe how bad this film is. It doesn't even fit into the ""so bad - it's good"" category. I actually have it on the television as I write - and whilst watching I felt the need to come onto IMDb and register my disgust.<br /><br />Considering Jurassic Park was made a couple of years before, how on earth did they think that audiences would any longer tolerate a man dressed in a rubber suit? WG should have simply walked and damn the consequences. Everyone concerned will go to hell for this criminal waste of money.<br /><br />I have to stop writing - I am about to implode.",0
"The delivery of some very humorous rude lines by Pierce Brosnan is alone worth the price of admission. He plays a kind of ""James Bond's psycho twin brother"", separated at birth, no doubt. As an intense hit-man, his character is very sexual but even better, very funny. Add the kind-hearted, uber-likable American ""guy next door', Greg Kinnear, to set up contrast. The myriad locations, vivid colors, and quick-witted humor provide great entertainment. Hope Davis is well cast as the ""gem of a wife"". But the focus of the film is on the two fellows, a new ""Odd Couple"", and that's the part that works very well. Have a great (probably R-rated) laugh, and look for the places where the story goes a little deeper.",1
"I only watched the first 30 minutes of this and what I saw was a total piece of crap. The scenes I saw were as bad as an Ed Wood movie. No, it was a hundred times WORSE. Ed Wood has the reputation of being the worst director ever but that's not true; the idiot who directed this junk is the WORST director ever.<br /><br />The American cop has a German accent! The ""police station"" was a desk in a warehouse with a sign ""Police Station"" hanging on the wall. There is a fist fight where the punches clearly miss by about TEN FEET.<br /><br />This cop pulls women over, cuffs them and leads them to a warehouse. He tells his cop partner to wait in the car. Then he comes out of the warehouse carrying a duffel bag. The cop partner thinks maybe something is not right, that his partner might be a bad cop who is murdering these women, but he isn't sure if that is what's happening because - he's a moron! The dialog is totally stupid, the acting is awful, and the characters act in the stupidest manner I have ever seen on screen. It is totally obvious to the cop's partner that he is illegally abducting these women and he is slapping them and taking them into a warehouse and returning to the car with a duffel bag with a body in it, and yet, the partner, who is there all along, doesn't know what is happening! <br /><br />The director of this film is a total hack. I stopped the movie at 30 minutes because I couldn't take it anymore. It has to be one of the WORST movies I have ever started to watch and I won't waste anymore time on it writing this review. <br /><br />Absolutely WORTHLESS.",0
"Feeding The Masses was just another movie trying to make a little money off of the zombie craze that is going around, mostly due to the popularity of movies such as Land Of The Dead and the Resident Evil series.<br /><br />It starts at a television station, which is guarded by the military, and are reporting that The Lazarus Virus (zombies) are close to containment and the city will soon be free to do their business again. The problem is, this is totally false. Zombies are running rampantly and only a small minority of people are aware. Among them are Torch (William Garberina), the camera man, Sherry (Rachael Morris), the lead anchor woman (who for some reason is listed as playing Shelly on this website) and Roger (Patrick Cohen), their military escort. Torch and Sherry are against lying to the people but the station is being run by secret service (or some other government agency) and they are heavily censored.<br /><br />This movie gives itself a pat on the back on the box-cover saying ""We hold FEEDING THE MASSES on a higher level than any o the three 'of the Dead' films by George A. Rombero."" The source of that quote has lost ALL credibility with me.<br /><br />Let me just say that this movie is BAD. I don't mean bad like I was expecting more (I obviously was, though) but I mean bad in that I could not find any redeeming qualities in the film, whatsoever. The acting in all parts are either over done or too wooden. Did anybody remember their lines or are they reading off of cue cards? I can't even think of what the best part of the movie was or the best actor/actress. There really was not one. If I had to give a nod to someone, I would say Roger, the military escort was probably the most interesting character but that is really not saying much.<br /><br />I would have to recommend to pass on this movie, despite the box-cover looking pretty good (It's what originally drew me to the movie). 3/10",0
"MST 3000 should do this movie. It is the worst acted movie I have ever seen. First of all, you find out that the shooter has no bank account and no history since leaving the army in 1993 and pays his rent in cash. There is no way in hell that a person like that would ever be allowed to be that close to a president not to mention a high profile job. Also, the head of security for the POTHUS would not be so emotional that he would start drinking into a haze if the president was shot. This movie sucked. I cannot express the extremite that this movie was. Every single actor was terrible. Even the chick at the trailer park. I crap on this garbage. What a waste of time.",0
"This movie is a pathetic attempt, apparently, to justify the actions of Mary Ann Letourneau. In order to do this, they cast a 19-year-old -well, probably not ""in order to do this."" There was no way they could have cast a 12 or 13 year old as the boy because the love scenes would have grossed everyone out (if they had even been allowed to do them) - as they should. Mary Ann's boyfriend was my nephew's age, making her a pedophile. Sixth grade, people. The definition of pedophile doesn't have to include many children - all you need is one.<br /><br />I really don't care about her upbringing or her unhappy marriage. She had a responsibility to her students that she did not live up to. The reason given is that she is bipolar, rejected the diagnosis, and refused to take her medication. It's understandable, then, that she was not thinking rationally. One hopes that she now understands her actions.<br /><br />Now that she and Vili are married and have two children together, I pray that she is on her medication and thinking clearly.<br /><br />All that aside, Penelope Ann Miller was totally convincing and perfect casting for the role.",0
"Retitled from its original Japanese name of LAPUTA (for being an offensive phrase, something which director Hayao Miyazaki was oblivious to at the time), CASTLE IN THE SKY is the master animator's third film, and it's one of his most beloved of all time. Initially a box office disappointment in its 1986 release, it has since been embraced by critics and audiences around the world. Inspired by Jonathan Swift's ""Gulliver's Travels"", CASTLE IN THE SKY is a steampunk-themed action adventure tale about two young orphans -- young miner Pazu, and mysterious girl Sheeta (who wears a magic crystal around her neck) -- who team up to find the long-lost island of Laputa, which is rumored to have great riches and gems. They are aided by a band of bumbling yet sympathetic air pirates led by the feisty Dola (who at first chase them, yet turn out to be true allies) and pursued by the government headed by its villainous topmost-secret agent, Muska, who wants the power of Laputa for his own benefit.<br /><br />For anyone looking for an exciting way to spend two hours, this film is an excellent choice, featuring just the right amount of humor, exploration, wonder, and mystery to keep one interested. The artwork, although not as spectacular as in some of Miyazaki's later movies, is fantastic and gorgeous enough to watch with imaginative characters and locations, incredibly exciting action scenes, and breathtaking flight sequences that will make one feel giddy. And while the characters that populate this tale are less complex than Miyazaki's other works, each has a memorable, endearing personality that stays with the viewer long after the film is over. Dola, in particular, makes for a terrific comic character, shouting orders to her dimwitted sons one moment and being protective of Sheeta the next. Muska is one of the few Miyazaki creations to ever come across as an irredeemable villain, but like Dola, he commands every scene he's in with a sinister charisma that is both alluring and chilly.<br /><br />Anime fans have often compared this movie to Gainax's sci-fi adventure series NADIA: THE SECRET OF BLUE WATER. After all, both works share similar story and character elements... not to mention that they were both created by Miyazaki himself. Where both differ is in their execution. NADIA, although charming for the most part, suffered from taking a wrong turn at its midway point, devolving into cartoonish nonsense which all but distracted from the main plot, even though it did have a strong ending. CASTLE IN THE SKY, on the other hand, remains consistently entertaining and focused for its two hour running time, and is all the better for it. While the film's epic tone is sometimes broken up by some ""cartoonish"" moments, like a brawl between Pazu's boss and one of Dola's sons, it's never to the point that it detracts from the film.<br /><br />About eleven years ago, Disney released an English version featuring a cast of big-names such as James van der Beek, Anna Paquin, Cloris Leachman, Mark Hamill, Mandy Patinkin as well as some cameo appearances by veterans such as Tress MacNeille and Jim Cummings. It also features an ambitious reworking of Joe Hisaishi's gorgeous musical score for a performance by the Seattle Music Orchestra (interestingly, the man behind this rescore is none other than the composer himself). As much as purists have cried blasphemy over this version for its occasional extra dialogue and the aforementioned rescore, Miyazaki had no such problems; in fact, he is said to have applauded the reworking, and for good reason, because the newly rerecorded music is truly the star of the new dub. While there are some instances where filling in some critially silent scenes from the original Japanese is a bit jarring (notably the journey through a dragon-infested storm cloud), the overall reworking is fantastic and in many ways improves on the original, particularly in scenes such as when a robot attacks a fortress and the climactic moments toward the end. Here, Hisaishi displays his musical versatility and genius for matching music to visuals. <br /><br />As far as the performances in the dub go, the leads are probably at the short end of the stick; James Van Der Beek's Pazu sounds significantly more mature than his character, while Anna Paquin's Sheeta speaks with an odd accent that fluctuates at times (a problem which actually works in favor of the character). That said, both do good jobs overall and provide a fairly believable chemistry throughout. It's the lively supporting cast, however, that really make this dub so much fun, particularly Cloris Leachman's Dola and Mark Hamill's Muska. Both are perfectly cast and steal every scene they're in; as with the rescore, these two really warrant a listen to the Disney dub. The script adaptation borders on the loose side at times--there's quite a bit of extra lines and/or commentary (some of which are pricelessly funny and others somewhat overdone)--but aside from at least one debatable alteration (Sheeta's speech in the climactic showdown ""the world cannot live without love"" as opposed to the original ""you can't survive apart from Mother Earth""), the overall characters, story, and spirit remain fairly faithful to the original. On the whole, there is little point comparing the Disney version to the original language track; each puts their own stamp on this legendary masterpiece, and I like them both. (They're also better than Streamline/JAL's more literal but frightfully robotic, lifeless, abysmally acted and poorly written older dub from the late 1980's; don't believe anybody who says this version is ""superior"" to Disneys--trust me, the opposite is true.) <br /><br />Either way, though, you can't go wrong with CASTLE IN THE SKY. It's one of Miyazaki's all-time greatest, and I highly recommend it.",1
"Well, what can i say about this movie. I'm speechless. I could go on about how stupid this movie is forever though the one thing that REALLY pi*sed me off was the music. And to top it all off someone commented on how much they LIKED it. To them all I have to say is that it was ripped off from one of the best martial arts movies of all time Fistsof fury starring Bruce Lee. IF he was still alive and ever came across this movie he'd be horrified. the rest of the movie is absolutely ridiculous and a waste of tape. I say tape because a movie like that couldn't possibly have been shot on film.I now feel more stupid for wasting 30 minutes of my life watching it. The only reason why i even saw it was because my roommate downloaded it out of morbid curiosity. What is this world coming to.",0
"Why do I constantly do this to myself? I mean, really, it's right there in the title - ""The Incredible Melting Man"". What else would I expect? I have to admit, I'm a sucker for just about anything I come across on the Monster HD channel, but the only redeeming feature of this picture would be that truly grotesque makeup job by the legendary Rick Baker. As for creepy, I'll give the nod to that horny old geezer couple sucking on lemons just before lights out. Now they were truly scary.<br /><br />Something I could never figure out in horror flicks was why a monster's victims wouldn't simply just run away when faced with virtual annihilation. Like the chick in the cabin. You know, there was a door completely visible right there in the kitchen that she could have run right out of at any time. Incredible Steve-O couldn't muster much more than a brisk walk, so why not just blow right by him? I don't know, maybe I'm missing something. <br /><br />This flick had some of the feel of a 'Tales From The Crypt' episode, but 'Tales' usually had a cool or grotesque twist which often times you didn't see coming. This was one picture that you couldn't quite get a handle on coming OR going. For example, in an early scene, you can clearly make out that Melting Man's eyeball fell out of his head, so how did he manage to get around for the rest of the story? I guess we're not supposed to ask.<br /><br />At eighty four minutes, this picture was about an hour and a half too long. When it was all over, I was ready to take up General Perry on his earlier suggestion - ""I could really use a drink about now"".",0
"Audiences back in 1936 must have been stunned at what they were watching: a full-fledged, beautiful full-length Technicolor film. I can't say for sure, but this might have been the first one (3-strip). At any rate, it still looks beautiful over 70 years later on DVD. In fact, just how good it looks is amazing.<br /><br />Kudos for that have to go out to Director Richard Boleslowski, Director Of Photography Virgil Miller, Selznick International Pictures and, for the DVD - MGM Home Entertainment. All of them combined to give us one of the best-looking films of the classic-era age.<br /><br />I thought the story was so-so: excellent in the first half, stagnant in the second. It gave a nice message in the end, even though a lot of people might not have been happy with it. I can't say more without spoiling things.<br /><br />Marlene Dietrich never looked better, I don't believe, and certainly never played such a soft-hearted character (""Domini Enfilden""). Heart-throb Charles Boyer was the male star and Domini's object of affection, but some of the minor characters were the most interesting to me. People like Joseph Schildkraut as ""Batouch;"" John Carradine as ""The Sand Diviner;"" The most memorable, to me at least, was the dancer ""Irena,"" played by Tilly Losch. Wow, there is a face and a dance you won't soon forget! I've never seen anything like it in the thousands of films I've viewed. Just seeing her do her thing was worth the price of the DVD. Looking at her IMDb resume, she was only in four movies, but they were all well-known films.<br /><br />Basil Rathbone, the actor who really became famous for playing ""Sherlock Holmes,"" also is in here as is C. Aubrey Smith, another famous British actor of his day. Schildkraut, by the way, will be recognized by classic film buffs as the man who played the arrogant sales clerk in the big hit, ""The Shop Around The Corner,"" with Jimmy Stewart and Margaret Sullivan.<br /><br />The beautiful direction, photography and color, and Tilly's dance, are the things I'll remember best about this movie which is a lot of good and not-so-good things all rolled into one. Had the last half hour been better - although I admire the ending - I would have rated it even higher. It's definitely one film collectors want to add to their collection.",1
"This film offers absolutely no imagination in it's premise nor in it's execution but these are just two things that come to mind after watching this so-called comedy that has no energy to speak of. Story is about nit-picky over analytical insurance risk manager Reuben Feffer (Ben Stiller) who finds his new wife Lisa (Debra Messing) cheating on him with a scuba instructor (Hank Azaria) after only one day on their honeymoon. Upon returning home Reuben and his best friend Sandy (Philip Seymour Hoffman) go to a party and run into Polly Prince (Jennifer Aniston) whom they went to school with years earlier.<br /><br />*****SPOILER ALERT***** Polly is forgetful and sloppy and lives carefree which is the opposite of who Reuben is as a person but they start to date and Reuben starts to change as a person as he starts to try out new things such as salsa dancing and eating spicy foods. But one day Lisa comes back and wants to remain married to Reuben but he really doesn't want to but Polly decides to leave as she doesn't believe in marriage to begin with.<br /><br />This film is the second directing effort by John Hamburg who wrote two generally unfunny screenplays in ""Zoolander"" and ""Meet the Parents"" but those two films seem like classics compared to this stale piece of drivel. It's very easy to say something is not funny but I think with this film it's even easier to figure out why. This film is totally and utterly predictable from start to finish with every scene looking as if it's only happening because of the ridiculousness of the script. Hamburg who also wrote the script seems to have written this without any thought of trying something different and at times he seems to be trying to generate the same energy as ""There's Something About Mary"" but instead the events seem incredibly forced. Did anyone really think the blind ferret was funny? If you do, your easy! A few times during the film characters would inexplicably have these emotional speeches that are supposed to summarize everything but all they achieve is overstating the obvious. Stiller works a lot but maybe he should work less and just wait for the better scripts to come his way because this film doesn't work as a comedy or as a romance.",0
"The story idea behind THE LOST MISSILE isn't bad at all, but unfortunately the story does get a bit dull towards the middle and the overuse of stock footage as well as poor special effects sink this film to the sub-par level.<br /><br />The film begins with a missile heading towards the Earth. In a panic because it's about to strike the Earth, the Soviets manage to deflect the object. This isn't necessarily good, however, as this seemingly unmanned craft has a vapor trail that destroys everything in its path AND the ship is now in a low orbit over the planet. In other words, with each pass it makes, a swath of death follows--one that could potentially kill us all!! So, it's up to the good scientists of the US (led by a very young and hardly recognizable Robert Loggia) to formulate and plan to save us--and especially save New York that is in its immediate flight path! Unfortunately, they aren't able to save Ottawa (I've never been there, so I can't say whether or not this is a big loss) but thanks to good old American know-how, they are able to eventually destroy this harbinger of destruction!! <br /><br />So, as you can see, the story idea isn't bad and rather original. But, so many old clips of fighter planes and guys manning radar scopes gets a bit old and it seemed like padding. Overall, a decent but hardly inspired film that extreme fans of the genre may like--all others, see it at your own risk.",0
